,Fare,binary,binary_value
0,7.25,000011101000111,7.25
1,71.2833,100011101000111,71.25
2,7.925,111111011000011,7.92188
3,53.1,110101001000110,53.125
4,8.05,100000001100100,8.04688
5,8.4583,100001110100100,8.45312
6,51.8625,110011111000110,51.875
7,21.075,010101000100110,21.0625
8,11.1333,101100100100100,11.1406
9,30.0708,111100001000101,30.0625
10,16.7,100001011000101,16.6875
11,26.55,011010100100110,26.5625
12,8.05,100000001100100,8.04688
13,31.275,111110100100101,31.2812
14,7.8542,111110110100011,7.85156
15,16.0,000000001001101,16
16,29.125,111010010000101,29.125
17,13.0,011010000000101,13
18,18.0,000001001001010,18
19,7.225,111001110100011,7.22656
20,26.0,000001101001010,26
21,13.0,011010000000101,13
22,8.0292,100000001000100,8.03125
23,35.5,010001110000111,35.5
24,21.075,010101000100110,21.0625
25,31.3875,001111101100111,31.375
26,7.225,111001110100011,7.22656
27,263.0,100000111001001,263
28,7.8792,111111000100011,7.88281
29,7.8958,111111001100011,7.89844
30,27.7208,110111011100101,27.7188
31,146.5208,100100101001000,146.5
32,7.75,000001111101000,7.75
33,10.5,001010100000110,10.5
34,82.1708,101001000100111,82.125
35,52.0,011010000000111,52
36,7.2292,111001110100011,7.22656
37,8.05,100000001100100,8.04688
38,18.0,000001001001010,18
39,11.2417,101100111100100,11.2344
40,9.475,100101111000100,9.46875
41,21.0,001010100000111,21
42,7.8958,111111001100011,7.89844
43,41.5792,101001100100110,41.5625
44,7.8792,111111000100011,7.88281
45,8.05,100000001100100,8.04688
46,15.5,000011111001000,15.5
47,7.75,000001111101000,7.75
48,21.6792,101011011000101,21.6875
49,17.8,010001110100110,17.8125
50,39.6875,100111101100110,39.6875
51,7.8,011111001100100,7.79688
52,76.7292,100110011000111,76.75
53,26.0,000001101001010,26
54,61.9792,000011111001010,62
55,35.5,010001110000111,35.5
56,10.5,001010100000110,10.5
57,7.2292,111001110100011,7.22656
58,27.75,011011110000110,27.75
59,46.9,101110111000110,46.875
60,7.2292,111001110100011,7.22656
61,80.0,001010000001001,80
62,83.475,001010011101001,83.5
63,27.9,110111110100101,27.9062
64,27.7208,110111011100101,27.7188
65,15.2458,000011110101000,15.25
66,10.5,001010100000110,10.5
67,8.1583,010000010100101,8.15625
68,7.925,111111011000011,7.92188
69,8.6625,100010101000100,8.65625
70,10.5,001010100000110,10.5
71,46.9,101110111000110,46.875
72,73.5,001001001101001,73.5
73,14.4542,111001110100100,14.4531
74,56.4958,000111000101001,56.5
75,7.65,111101001100011,7.64844
76,7.8958,111111001100011,7.89844
77,8.05,100000001100100,8.04688
78,29.0,000001110101010,29
79,12.475,110001111000100,12.4688
80,9.0,010010000000101,9
81,9.5,000100110000111,9.5
82,7.7875,111110010100011,7.78906
83,47.1,101111001000110,47.125
84,10.5,001010100000110,10.5
85,15.85,111111011000100,15.8438
86,34.375,010001001100111,34.375
87,8.05,100000001100100,8.04688
88,263.0,100000111001001,263
89,8.05,100000001100100,8.04688
90,8.05,100000001100100,8.04688
91,7.8542,111110110100011,7.85156
92,61.175,111101001100110,61.1875
93,20.575,010100100100110,20.5625
94,7.25,000011101000111,7.25
95,8.05,100000001100100,8.04688
96,34.6542,010001010100111,34.625
97,63.3583,111111011000110,63.375
98,23.0,010111000000110,23
99,26.0,000001101001010,26
100,7.8958,111111001100011,7.89844
101,7.8958,111111001100011,7.89844
102,77.2875,100110101000111,77.25
103,8.6542,010001010100101,8.65625
104,7.925,111111011000011,7.92188
105,7.8958,111111001100011,7.89844
106,7.65,111101001100011,7.64844
107,7.775,111110001100011,7.77344
108,7.8958,111111001100011,7.89844
109,24.15,110000010100101,24.1562
110,52.0,011010000000111,52
111,14.4542,111001110100100,14.4531
112,8.05,100000001100100,8.04688
113,9.825,100111010100100,9.82812
114,14.4583,111001110100100,14.4531
115,7.925,111111011000011,7.92188
116,7.75,000001111101000,7.75
117,21.0,001010100000111,21
118,247.5208,011110111101001,247.5
119,31.275,111110100100101,31.2812
120,73.5,001001001101001,73.5
121,8.05,100000001100100,8.04688
122,30.0708,111100001000101,30.0625
123,13.0,011010000000101,13
124,77.2875,100110101000111,77.25
125,11.2417,101100111100100,11.2344
126,7.75,000001111101000,7.75
127,7.1417,011100100100100,7.14062
128,22.3583,101100101100101,22.3438
129,6.975,110111110100011,6.97656
130,7.8958,111111001100011,7.89844
131,7.05,111000011000011,7.04688
132,14.5,111010000000100,14.5
133,26.0,000001101001010,26
134,13.0,011010000000101,13
135,15.0458,111100001100100,15.0469
136,26.2833,110100100100101,26.2812
137,53.1,110101001000110,53.125
138,9.2167,100100111000100,9.21875
139,79.2,100111101000111,79.25
140,15.2458,000011110101000,15.25
141,7.75,000001111101000,7.75
142,15.85,111111011000100,15.8438
143,6.75,000011011000111,6.75
144,11.5,101110000000100,11.5
145,36.75,100100110000110,36.75
146,7.7958,111110011000011,7.79688
147,34.375,010001001100111,34.375
